Unnamed: 0,appVersion,at,content,kota,repliedAt,replyContent,reviewCreatedVersion,reviewId,score,thumbsUpCount,userImage,userName,sentiment,Confidence Score
0,Unknown,15-11-24 15:16,Gak suka,Jakarta Selatan,15-11-24 16:10,"Hai Kak Erna, mohon maaf atas ketidaknyamanannya. Jika kamu yakin bahwa driver meminta pembayaran lebih di luar harga akhir, laporkan melalui halaman Bantuan (pada menu Profil Saya) di aplikasi Gojek > ketik ""Driver saya meminta pembayaran lebih"" pada kolom pencarian. Semoga informasi ini membantu ya. ^Maya",Unknown,a15d3b67-1578-420d-9d20-3704c05f51d6,1,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.99985135
1,Unknown,15-11-24 15:15,Sangat amat membantu,Jakarta Pusat,Unknown,Unknown,Unknown,45b27ea5-6f02-4f35-aa35-3c161509207f,5,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.9998474
2,5.1.1,15-11-24 15:12,"Pemilihan jalur sengaja mengambil yang paling jauh sehingga harga jadi lebih mahal, padahal ada jalur yang lebih dekat, dan juga tidak ada halangan pada jalur tersebut",Jakarta Pusat,Unknown,Unknown,5.1.1,b1056364-8b48-4e6a-bbeb-aa23c709e5ca,5,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,negatif,0.99937767
3,4.99.1,15-11-24 15:10,Sangat mengesankan pelayanannya,Jakarta Barat,Unknown,Unknown,4.99.1,0b8d3c6b-4dd6-44ee-bdfd-4a722f147552,5,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.9998357
4,Unknown,15-11-24 15:07,Banyak promo menarik,Jakarta Selatan,Unknown,Unknown,Unknown,63bdce8b-1ce3-4715-99eb-3b0cc655561a,5,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.9998425
5,5.1.1,15-11-24 15:06,"Gopay later diblokir dan sedang direview coba lagi Desember, tapi sudah desember masih belum bisa padahal gak pernah telat",Jakarta Pusat,Unknown,Unknown,5.1.1,8736bef9-d0de-43e5-aeb9-0ab275c4170d,5,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,negatif,0.999424
6,5.1.1,15-11-24 15:04,"biaya pelayanan mohon di kurangi untuk gofood. masa 2,3km 18ribu, di atas 5km 36ribu yang benar saja ini gofood bukan goride.",Jakarta Selatan,15-11-24 16:06,"Hai Kak @arsblaafrah, kami mohon maaf atas ketidaknyamanan yang kamu alami karena perilaku driver kami yang kurang sopan. Segera laporkan kepada kami melalui halaman Bantuan (pada menu Profil Saya) di aplikasi Gojek > ketik ""Driver kurang sopan"" pada kolom pencarian. Semoga informasi ini membantu ya. ^Maya",5.1.1,806ad802-b137-44b4-8fcf-e713b43057c4,2,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.9993135
7,Unknown,15-11-24 15:02,"Aplikasinya makin tidak jelas, gopaylatter di bekukan karna keterlambatan, padahal pembayaran ga pernah lambat dan selalu tepat waktu,,",Jakarta Selatan,15-11-24 16:04,"Hai Kak Helga, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maya",Unknown,64746413-1100-4d89-a8a6-9f5f5ff09e1b,1,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,negatif,0.7877472
8,5.1.1,15-11-24 14:57,Mantap pokonya semoga amanah,Jakarta Barat,Unknown,Unknown,5.1.1,06623f12-1e10-49a8-98c0-b2823b9ef5f2,5,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.9998424
9,5.1.1,15-11-24 14:55,"Menghilangkan fitur ""batalkan pesanan"" malah nyusahin dan merugikan customer",Jakarta Pusat,Unknown,Unknown,5.1.1,6ae77a78-2728-453a-804c-b88c5db6d67c,5,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,negatif,0.99945325
